"","date","state","cases","variant","status","data"
"271",2021-05-17,"Kelantan",17,"Beta B.1.351","voc","inc"
"272",2021-05-17,"Kelantan",0,"Alpha B.1.1.7","voc","inc"
"273",2021-05-17,"Kelantan",0,"Delta B.1.617.2","voc","inc"
"274",2021-05-17,"Kelantan",0,"Eta B.1.525","voi","inc"
"275",2021-05-17,"Kelantan",0,"Theta P.3","voi","inc"
"276",2021-05-17,"Malaysia",67,"Beta B.1.351","voc","inc"
"277",2021-05-17,"W.P. Kuala Lumpur",0,"Alpha B.1.1.7","voc","inc"
"278",2021-05-17,"W.P. Kuala Lumpur",0,"Delta B.1.617.2","voc","inc"
"279",2021-05-17,"W.P. Kuala Lumpur",0,"Eta B.1.525","voi","inc"
"280",2021-05-17,"W.P. Kuala Lumpur",0,"Theta P.3","voi","inc"
"281",2021-05-17,"Negeri Sembilan",1,"Beta B.1.351","voc","inc"
"282",2021-05-17,"Perak",0,"Alpha B.1.1.7","voc","inc"
"283",2021-05-17,"Perak",0,"Delta B.1.617.2","voc","inc"
"284",2021-05-17,"Perak",0,"Eta B.1.525","voi","inc"
"285",2021-05-17,"Perak",0,"Theta P.3","voi","inc"
"286",2021-05-17,"Perak",10,"Beta B.1.351","voc","inc"
"287",2021-05-17,"Kedah",0,"Alpha B.1.1.7","voc","inc"
"288",2021-05-17,"Kedah",0,"Delta B.1.617.2","voc","inc"
"289",2021-05-17,"Kedah",0,"Eta B.1.525","voi","inc"
"290",2021-05-17,"Kedah",0,"Theta P.3","voi","inc"
"291",2021-05-17,"Perlis",0,"Beta B.1.351","voc","inc"
"292",2021-05-17,"Pulau Pinang",0,"Alpha B.1.1.7","voc","inc"
"293",2021-05-17,"Pulau Pinang",0,"Delta B.1.617.2","voc","inc"
"294",2021-05-17,"Pulau Pinang",0,"Eta B.1.525","voi","inc"
"295",2021-05-17,"Pulau Pinang",0,"Theta P.3","voi","inc"
"296",2021-05-17,"Pulau Pinang",0,"Beta B.1.351","voc","inc"
"297",2021-05-17,"Negeri Sembilan",0,"Alpha B.1.1.7","voc","inc"
"298",2021-05-17,"Negeri Sembilan",0,"Delta B.1.617.2","voc","inc"
"299",2021-05-17,"Negeri Sembilan",0,"Eta B.1.525","voi","inc"
"300",2021-05-17,"Negeri Sembilan",0,"Theta P.3","voi","inc"
